title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
Sweetheart!,"Sweetheart! is a 2025 Indian Tamil-language romantic comedy film[2] written and directed by Swineeth S. Sukumar in his directorial debut, starring Rio Raj and Gopika Ramesh in the lead roles, alongside Renji Panicker, Redin Kingsley, Arunachaleswaran Pa, Tulasi, Fouziee, Suresh Chakravarthy and others in supporting roles. The film has music composed and produced by Yuvan Shankar Raja under his YSR Films banner.",Swineeth S. Sukumar,Swineeth S. Sukumar,Yuvan Shankar Raja,"Rio Raj, Gopika Ramesh",Balaji Subramanyam,Tamil Arasan,14 March 2025,India,Tamil,1035.0,35.0
Sweetness,"Sweetness  is a 2025 Canadian thriller film written and directed by Emma Higgins.[2] The film stars Kate Hallett as Rylee Hill, a teenager who meets rock star Payton Adler (Herman Tømmeraas), and becomes obsessed with saving him from his demons when she realizes that he's a dysfunctional drug addict rather than a role model.[3]",Emma Higgins,Emma Higgins,"Taj Critchlow, Daniel Quinn","Kate Hallett, Herman Tømmeraas, Justin Chatwin, Steven Ogg, Amanda Brugel",Mat Barkley,Kat Webber,"March 7, 2025(SXSW)",Canada,English,1036.0,36.0
Swiped,"Swiped is an upcoming American biographical drama film written and directed by Rachel Lee Goldenberg that is based on the life of Whitney Wolfe Herd, founder and former CEO of Bumble. Lily James stars as Herd.",Rachel Lee Goldenberg,"Rachel Lee Goldenberg, Bill Parker, Kim Caramele","Lily James, Jennifer Gibgot, Andrew Panay","Lily James, Myha'la, Jackson White, Dan Stevens, Ben Schnetzer, Pierson Fodé, Ian Colletti, Mary Neely, Ana Yi Puig, Aidan Laprete",,,2025,United States,English,1037.0,37.0
Taandob,"Taandob (Bengali: তাণ্ডব, romanized: Tāṇḍôb, Bengali pronunciation: [ˈtaːnɖob]; transl. Rampage) is a 2025  Bangladeshi political action thriller film written and directed by Raihan Rafi, who also co-wrote the screenplay with Adnan Adib Khan. The film revolves around an attack on a fictional television channel in Bangladesh, featuring Shakib Khan, Sabila Nur and Jaya Ahsan in the lead roles.[1] Produced by Shahriar Shakil under the banner of Alpha-i and co-produced by SVF, Taandob was released on 7 June 2025 during Eid-ul-Adha.[2]",Raihan Rafi,,Shahriar Shakil,"Shakib Khan, Sabila Nur, Jaya Ahsan",Shihab Nurun Nabi,,7 June 2025,Bangladesh,Bangla,1038.0,38.0
Taaro Thayo,"Taaro Thayo is a 2025 Gujarati family drama,[1]  directed by Dharmesh Patel. It stars Hiten Kumar Kaajal Oza Vaidya, Hitu Kanodia, Vyoma Nandi, Sunny Pancholi [2] and others. It is produced by Vijay Chauhan, Nidhi Chauhan & Sanjay Chauhan, along with co produced by Pramod Parmar, Dharmesh Patel and Dharmendrasinh Raj under the banner of Leela Mohan Production.",Dharmesh Patel,Kaajal Oza Vaidya,"Vijay Chauhan, Nidhi Chauhan, Sanjay Chauhan, Pramod Parmar (Co Producer), Dharmesh Patel (Co Producer), Dharmendrasinh Raj (Co Producer)","Hiten Kumar, Kaajal Oza Vaidya, Hitu Kanodia, Vyoma Nandi, Sunny Pancholi",Nagraj Diwakar,"Dharmesh Patel, Shadab Khan",17 January 2025,India,Gujarati,1039.0,39.0
Tagar,"The cinematography for the film Tagar is handled by Ismail Hossain Liton. Rahmatullah Basu serves as the art director, Chunnu as the fight director, and Monir Hossain is responsible for makeup.[3]",Aalok Hasan,AR Movie Network team,AR Movie Network,"Ador Azad, Puja Cherry, Azad Abul Kalam, Rosey Siddiqui, Sumon Anwar",Ismail Hossain Liton,Rony Shikder Jitu,"June 7, 2025",Bangladesh,Bangla,1040.0,40.0
Take No Prisoners,"The film provides access to the negotiation processes and behind-the-scenes operations involved in freeing American detainees, centering its narrative on the case of Eyvin Hernandez, a Los Angeles public defender held in Venezuela at the Casa de los Sueños and his subsequent release.[7] It follows the family's and Carstens' efforts to secure his release. It explores both the emotional toll on affected families and the negotiations. Jason Rezaian, a former hostage, hosted a panel at South by Southwest to discuss the film.[5] Screen Rant interviewed the producers at SXSW.[8]",,,,,,,,,,1041.0,41.0
The Talent,"The Talent (Spanish: El talento)[1] is an upcoming Spanish drama film directed by Polo Menárguez, who co-wrote the screenplay with Fernando León de Aranoa, based on the 1924 novella Fräulein Else by Arthur Schnitzler. The cast is led by Ester Expósito and Pedro Casablanc.",Polo Menárguez,"Fernando León de Aranoa, Polo Menárguez","Fernando León de Aranoa, Patricia de Muns, Laura Fdez. Espeso, Javier Méndez","Ester Expósito, Pedro Casablanc, Mirela Balic, Juan Pablo Fuentes, Rocío Muñoz-Cobo, Sonia Almarcha",,,5 September 2025,Spain,Spanish,1042.0,42.0
Tanvi the Great,Anupam Kher announced the film through a social media post on the occasion of his 69th birthday on 7 March 2024.[8] It was also said that the shooting of the film will start on the day of Maha Shivratri i.e. 8 March. [9],Anupam Kher,"Ankur Suman, Abhishek Dixit, Anupam Kher",Anupam Kher,"Anupam Kher, Iain Glen",Keiko Nakahara,Tushar Parekh,18 July 2025,India,Hindi,1043.0,43.0
The Tasters,"Autumn 1943. One morning, young Rosa Sauer - whose husband is at the front and who has fled bomb-stricken Berlin to her in-laws' home in the northeastern Polish village Gross-Partsch - is taken to the Nazi headquarters Wolf's Lair, where she is forced along with other women to eat the meals destined for the Führer: every day, three times, she is forced to come close to death to make sure that that food is not poisoned. In this atmosphere of coercion, and torn between the fear of dying and the hunger that devours them, the tasters will form alliances, friendships and secret pacts among themselves, without ceasing to hope.",Silvio Soldini,,"Lionello Cerri, Cristiana Mainardi, Joseph Rouschop, Katrin Renz, Stefan Jäger","Elisa Schlott, Max Riemelt",Renato Berta,"Carlotta Cristiani, Giorgio Garini",2025,Italy,German,1044.0,44.0
Teenage Mutant Ninja Turtles: Chrome Alone 2 – Lost in New Jersey,"Teenage Mutant Ninja Turtles: Chrome Alone 2 – Lost in New Jersey is a 2025 American animated short film based on the Teenage Mutant Ninja Turtles characters created by Peter Laird and Kevin Eastman. Set in the universe of the feature film Mutant Mayhem (2023), it was directed by Kent Seki from a screenplay written by Andrew Joustra.",Kent Seki,Andrew Joustra,,,,,"June 10, 2025(Annecy)",United States,English,1045.0,45.0
Telusu Kada,"Telusu Kada (transl. You know, right?) is an upcoming Indian Telugu-language romantic drama film written and directed by debutant Neeraja Kona and produced by T. G. Vishwa Prasad and Vivek Kuchibhotla, under People Media Factory. The film features Siddhu Jonnalagadda, Raashii Khanna and Srinidhi Shetty  in the lead roles. The music will be composed by Thaman S. It is scheduled to release on 17 October 2025.[1]",Neeraja Kona,Neeraja Kona,"T. G. Vishwa Prasad, Vivek Kuchibhotla","Siddhu Jonnalagadda, Raashii Khanna, Srinidhi Shetty",Gnana Shekar V. S.,Naveen Nooli,17 October 2025,India,Telugu,1046.0,46.0
Ten Hours,"Ten Hours is a 2025 Indian Tamil-language action thriller film written and directed by Ilayaraja Kaliyaperumal[2] and produced by Latha Balu and Durgaini Vinoth under Duvin Studios banner.[3] The film stars Sibi Sathyaraj in the lead role alongside Gajaraj, Dileepan, Jeeva Ravi, Saravana Subbiah, Raj Ayyappa, Aadukalam Murugadoss and others in supporting roles.",Ilayaraja Kaliyaperumal,Ilayaraja Kaliyaperumal,"Latha Balu, Durgaini Vinoth",Sibi Sathyaraj,Jai Karthik,Lawrence Kishore,18 April 2025,India,Tamil,1047.0,47.0
Test,"Test is a 2025 Indian Tamil-language sports thriller film[2] directed by S. Sashikanth, who co-wrote the script with Suman Kumar and produced with Chakravarthy Ramachandra under YNOT Studios. The film stars R. Madhavan, Nayanthara, Siddharth and Meera Jasmine, with Kaali Venkat, Nassar and Vinay Varma in supporting roles. It marks Sashikanth's directorial debut and Jasmine's return to Tamil cinema after a 10-year hiatus.",S. Sashikanth,"S. Sashikanth, Suman Kumar","Chakravarthy Ramachandra, S. Sashikanth","R. Madhavan, Nayanthara, Siddharth, Meera Jasmine",Viraj Singh Gohil,T. S. Suresh,4 April 2025,India,Tamil,1048.0,48.0
Thala,Thala is a 2025 Indian Telugu-language action drama film written and directed by Amma Rajashekar.[1] The film features Amma Raagin Raj and Ankitha Naskar in lead roles.[2],Amma Rajashekar,Amma Rajashekar,Sreenivasa Goud,"Amma Raagin Raj, Ankitha Naskar",Shyam K. Naidu,Shiva Sarni,14 February 2025,India,Telugu,1049.0,49.0
Background shading indicates that a film is currently showing in theatres worldwide.,,,,,,,,,,,1050.0,50.0
Thambal: The Legacy of Celestial Flower,"Thambal: The Legacy of Celestial Flower (English: Lotus) is a 2025 Manipuri film written by Biseshwar Philem and directed by Da Tamo Sharma.[1][2] Produced by Ashalata Oinam under the banner of Kangleiwood Cinema, it stars Pinky Saikhom, Avi Khundrakpam, Lamnganbi Laishram and Suraj Ngashepam in the lead roles.[3] The film was certified by CBFC in 2023.[4] It was released at Manipur State Film Development Society (MSFDS), Palace Compound on 2 January 2025.",Da Tamo Sharma,Biseshwar Philem,Ashalata Oinam,"Pinky Saikhom, Avi Khundrakpam, Lamnganbi Laishram, Suraj Ngashepam",Nandaraj Philem,Nandaraj Philem,2 January 2025,India,"Meiteilon, (, Manipuri, )",1051.0,51.0
Thandel,"Thandel (lit. 'Captain of the boat')[5] is a 2025 Indian Telugu-language romantic action thriller film[6] written and directed by Chandoo Mondeti.[7] Produced by Bunny Vasu under Geetha Arts, and starring Naga Chaitanya and Sai Pallavi.[8] The film is based on a real-life incident that occurred in 2018, depicting how Pakistani forces captured a fisherman from Srikakulam in international waters.[9][10]",Chandoo Mondeti,,Bunny Vasu,"Naga Chaitanya, Sai Pallavi",Shamdat Sainudeen,Naveen Nooli,7 February 2025,India,Telugu,1052.0,52.0
Tharunam,Tharunam (transl. Moment) is a 2025 Indian Tamil-language romantic action thriller film written and directed by Arvindh Srinivasan and produced by Pugazh and Eden under Zhen Studios banner starring Kishen Das and Smruthi Venkat in the lead roles alongside Raj Ayyappa and Bala Saravanan in pivotal roles.,Arvindh Srinivasan,Arvindh Srinivasan,"Pugazh, Eden","Kishen Das, Smruthi Venkat",Raja Bhattacharjee,,31 January 2025,India,Tamil,1053.0,53.0
That Summer in Paris,"That Summer in Paris (French: Le rendez-vous de l'été) is a 2025 French comedy drama film co-written and directed by Valentine Cadic in her directorial debut. The film revolves around Blandine, who arrives from Normandy to watch the 2024 Summer Olympic Games in Paris, especially swimming competitions. She navigates the chaos of Paris and an unexpected reunion.[1][2]",Valentine Cadic,"Valentine Cadic, Mariette Désert","Masa Sawada, Arnaud Bruttin","Blandine Madec, India Hair, Arcadi Radeff, Matthias Jacquin, Lou Deleuze",Naomi Amarger,Lisa Raymond,15 February 2025(Berlinale),France,French,1054.0,54.0
The Brown Heart,"The documentary follows physicians Nirmal and Renu Joshi as they travel across India, the UK, and the US to examine increasing rates of heart attacks among young South Asians. The film includes interviews with over 40 cardiologists and health experts, as well as personal accounts from individuals and families affected by heart disease.","Dr. Nirmal Joshi, Dr. Renu Joshi","Nirmal Joshi, Renu Joshi","Joshi Health Foundation, R Motion Pictures","Nirmal Joshi, Renu Joshi, Naseeruddin Shah, Subhash Ghai, Daler Mehndi, Meghna Gulzar",Yogendra Singh,,3 May 2025,"India, United States",English,1055.0,55.0
The Heirs of Captain Africa,"The documentary takes viewers on a journey through several African countries, including Nigeria, South Africa, and Zimbabwe, to meet artists, writers, and publishers shaping a new generation of superheroes rooted in African realities. Unlike iconic American comics characters, these heroes operate in local contexts, confronting issues such as corruption, social injustice, and Neocolonialism.[1]","Xavier Fournier, Frédéric Ralière",Xavier Fournier,"Xavier Fournier, Frédéric Ralière",,,,26 May 2025,France,"French, English",1056.0,56.0
The Last Shore,"In January 2017, a video of a young Gambian drowning in the waters of Venice’s Grand Canal went viral on social networks. From the shore, passers-by insulted him without helping him. Filmed with a mobile phone, the body, petrified by the cold, appears to be sinking despite the lifebuoys thrown in its direction. He was 22 and his name was Pateh Sabally. 2500 miles away, the voices and faces of his family tell the story that preceded this tragedy, the story behind the image...",Jean-François Ravagnan,Jean-François Ravagnan,Julie Frères,,Thomas Schira,Marc Recchia,"April 10, 2025(Visions du Réel)","Belgium, France, Qatar",Fula,1057.0,57.0
The Scout,"It had its world premiere at the Tribeca Festival on June 5, 2025.",Paula González-Nasser,Paula González-Nasser,"Paula González-Nasser, Ryan Martin Brown, Matthew Romanski","Mimi Davila, Rutanya Alda, Max Rosen, Ikechukwu Ufomadu, Sarah Herrman, Otmara Marrero, Matt Barats",Nicola Newton,"Ryan Martin Brown, Bryon Leon","June 5, 2025(Tribeca)",United States,English,1058.0,58.0
The Suspect,"THE SUSPECT is a Indian Telugu-language Crime Drama[1]  released in 2025 and written and directed by Radha Krishna Garnepudi and produced by G. Kiran Kumar under Temple Town Talkies[2] banner. It stars Rushi Kiran in the DCP roles alongside Swetha Ghattamaneni, M. Siva Kumar, Rupa, Rajitha and AKN Prasad.",RadhaKrishna Garnepudi,,G. Kiran Kumar,"Rushi Kiran, Swetha Ghattamaneni, M Siva Kumar, Rupa, Rajitha, AKN Prasad",Patlolla Raghavendra,Praveen TamTam,21 March 2025,India,Telugu,1059.0,59.0
Theja,"Theja (Battle for the Rights: Sinhala: තේජා) is a 2025 Sri Lankan Sinhalese thriller film directed by Nilantha Hapanweera[1] and co-produced by Nita Fernando, Mahil R. Perera and Suranga de Alwis for Sangeethā Films.[2] The film is based on the fierce struggle of 1982 – 1985 conducted by female workers in the garments against oppressive management tactics and miserable working conditions of the garment administration in the concept of free trade zones.[3] It stars Nita Fernando in the lead titular role along with Mahendra Perera, Iranganie Serasinghe, Chamila Peiris, Sujani Menaka and Anuruddhika Padukkage made supportive roles.[4][5]",Nilantha Hapanweera,Nilantha Hapanweera,"Nita Fernando, Mahil R. Perera, Suranga de Alwis","Nita Fernando, Mahendra Perera, Iranganie Serasinghe, Chamila Peiris, Sujani Menaka",Kavinda Ranaweera,Stanley De Alwis,7 March 2025,,Sinhala,1060.0,60.0
The Thing with Feathers,The Thing with Feathers is a 2025 British drama film starring Benedict Cumberbatch. It is written and directed by Dylan Southern and adapted from the book Grief Is the Thing with Feathers by Max Porter.,Dylan Southern,,"Leah Clarke, Andrea Cornwell, Adam Ackland",Benedict Cumberbatch,Ben Fordesman,George Cragg,"January 25, 2025(Sundance)",United Kingdom,English,1061.0,61.0
The Things You Kill,The film premiered at the 2025 Sundance Film Festival as part of the World Cinema Dramatic Competition.,Alireza Khatami,Alireza Khatami,"Alireza Khatami, Elisa Sepulveda Ruddoff, Cyriac Auriol, Mariusz Włodarsk, Michael Solomon","Ekin Koç, Erkan Kolçak Köstendil, Hazar Ergüçlü, Ercan Kesal",Bartosz Swiniarski,"Alireza Khatami, Selda Taskin",24 January 2025(Sundance),"Turkey, Poland, France, Canada",Turkish,1062.0,62.0
The Third Parent,"The Third Parent is an upcoming American supernatural horror film directed and written by David Michaels. It is based on the Creepypasta story of the same name. The film stars Rob Lowe, Roselyn Sánchez, and Crispin Glover.",David Michaels,David Michaels,"Jonathan Halperyn, Daniel Kresmery, Gary Michael Walters, Spencer Young","Rob Lowe, Roselyn Sánchez, Crispin Glover",Tim Maurice-Jones,,"October 31, 2025",United States,English,1063.0,63.0
