title,description,directed_by,produced_by,starring,country,language,release_date
Larissa: The Other Side of Anitta,"The documentary explores the different layers of Anitta, showcasing not only the bold and powerful artist who conquered the world, but also the challenges, dilemmas, and vulnerabilities of Larissa de Macedo Machado. The narrative is driven by the perspective of an old teenage crush of Larissa, who now takes on the mission of helping to uncover her true essence. In addition to the artist's personal side, the documentary also celebrates iconic moments of her career, such as: behind the scenes of Rio de Janeiro's Carnival, achievements at international award shows, reaching the top of global charts with the song ""Envolver"", her historic performance at the Coachella festival.[4]","João Wainer, Pedro Cantelmo","Felipe Britto, Melanie Chapaval Lebensztajn",Anitta,Brazil,"Portuguese, English",06-03-2025
Last Breath,"Last Breath is a 2025 survival thriller film directed by Alex Parkinson and written by Parkinson, Mitchell LaFortune, and David Brooks. It stars Woody Harrelson, Simu Liu, Finn Cole, and Cliff Curtis. It is a feature film remake of the 2019 documentary that Parkinson co-directed with Richard da Costa, and follows a group of deep-sea divers who race to rescue a stranded teammate after an accident.",Alex Parkinson,"David Brooks, Paul Brooks, Hal Sadoff, Norman Golightly, Jeremy Plager, Stewart le Maréchal, Al Morrow, Anna Mohr-Pietsch","Woody Harrelson, Simu Liu, Finn Cole, Cliff Curtis","United Kingdom, United States",English,27-02-2025
Last Days,"Last Days is a 2025 American biographical drama film directed by Justin Lin and written by Ben Ripley. It is based on the article ""The Last Days of John Allen Chau"" by Alex Perry. It premiered at the 2025 Sundance Film Festival.[1]",Justin Lin,"Justin Lin, Ellen Goldsmith-Vein, Eric Robinson, Clayton Townsend, Guja Quaranta","Sky Yang, Radhika Apte, Ali Fardi, Naveen Andrews, Ken Leung, Toby Wallace, Ciara Bravo, Claire Price, Dieudonné Ngabo, Marny Kennedy",United States,English,28-01-2025
The Last One for the Road,"The Last One for the Road (Italian: Le città di pianura, lit. 'The cities of the plain') is a 2025 film co-written and directed by Francesco Sossai. It stars Filippo Scotti, Sergio Romano [it], Pierpaolo Capovilla [it], Roberto Citran, and Andrea Pennacchi. The film had its world premiere at the Un Certain Regard section of the 78th Cannes Film Festival on 21 May 2025.[1]",Francesco Sossai,"Marta Donzelli, Gregorio Paonessa, [, it, ], Philipp Kreuzer, Cecilia Trautvetter","Filippo Scotti, Sergio Romano, [, it, ], Pierpaolo Capovilla, [, it, ], Roberto Citran, Andrea Pennacchi","Italy, Germany",No data,21-05-2025
The Last Rodeo,"The Last Rodeo is a 2025 American drama film written and directed by Jon Avnet. It stars Neal McDonough (who is also a co-writer and producer), Mykelti Williamson, Christopher McDonald, Sarah Jones, and Daylon Swearengen.",Jon Avnet,"Darren Moorman, Stephen Preston, Ruvé McDonough, Neal McDonough, Jon Avnet, Kip Konwiser","Neal McDonough, Mykelti Williamson, Sarah Jones, Daylon Swearengen, Christopher McDonald",United States,English,23-05-2025
The Last Supper,"The Last Supper is a 2025 American biblical drama film about the last days of Jesus Christ. It is co-written and directed by Mauro Borrelli, and stars James Oliver Wheatley, Jamie Ward, Charlie MacGechan, Nathalie Rapti Gomez, Robert Knepper, and James Faulkner. Chris Tomlin is one of the executive producers.[5] The film was released on March 14, 2025, by Pinnacle Peak Pictures.[2][6][7]",Mauro Borrelli,"Michael Scott, Shawn Boskie, Kenneth Halsband, Ivan Cohen, Manu Gargi","James Oliver Wheatley, Jamie Ward, Charlie MacGechan, Nathalie Rapti Gomez, Robert Knepper, James Faulkner",United States,English,No date
Last Take: Rust and the Story of Halyna,"It was released on March 11, 2025, by Hulu.",Rachel Mason,"Rachel Mason, Julee Metz, Kate Barry, Jon Bardin, Will Cohen, Jessica Grimshaw, Nick Shumaker, Jennifer Sears",No data,United States,English,11-03-2025
Late Shift,"Late Shift (German: Heldin) is a 2025 Swiss-German drama film directed by Petra Volpe. The film 
focuses on a young nurse, Floria, who works with unwavering dedication in an understaffed hospital ward, but on that day, her shift turned into a nerve-racking race against time.[1][2]",Petra Volpe,"Lukas Hobi, Reto Schaerli","Leonie Benesch, Sonja Riesen, Selma Aldin, Alireza Bayram","Switzerland, Germany",German,17-02-2025
The Leap,"The Leap (Spanish: El paso) is a  Cuban 2025 Spanish-language short documentary film written and directed by Roberto Tarazona.[1] The film follows two children who set out to decipher the mystery of events that the adults talk about only in secret: in the darkness of the moonless nights, cattle are disappearing along with the farmers who dare to confront the “monster” that is taking them.[2][3]",Roberto Tarazona,"Ángel Luis Medina, EICTV Cuba","Fabián Olmo Águila, Christian Águila Almeida, Luisa Gálvez Capot, José A. Olmos Chaviano",Cuba,Spanish,19-02-2025
Leave One Day,The film had its world premiere as the Opening Film of the 2025 Cannes Film Festival on 13 May 2025 and was released theatrically in France on the same day by Pathé.,Amélie Bonnin,"Bastian Daret, Arthur Goisset, Robin Robles, Sylvie Pialat, Benoît Quainon","Juliette Armanet, Bastien Bouillon",France,French,13-05-2025
Leaving Neverland 2: Surviving Michael Jackson,"The documentary is the followup to Leaving Neverland (2019), which followed two men, Wade Robson and James Safechuck, who allege they were sexually abused by the American singer Michael Jackson. Leaving Neverland 2 covers their attempt to take their allegations to trial.[2]",No data,No data,No data,No data,No data,No date
Leech,"The film is written and directed by S M,[4] while the technical team consists of Arun T Sasi as the cinematographer,[5] Alvin Tomy as the editor and Kiran Jose as the music director.[6]",S M,Anoop Rethna,"Anoop Rethna, Megha, Sandya Nair",India,Malayalam,14-03-2025
Left-Handed Girl,The film had its world premiere at the Critics' Week section of the 2025 Cannes Film Festival.,Shih-Ching Tsou,"Shih-Ching Tsou, Sean Baker, Mike Goodridge","Janel Tsai, Shih-Yuan Ma, Nina Ye, [, zh, ], Brando Huang, Akio Chen, Xin-Yan Chao","United States, United Kingdom, France, Taiwan","Mandarin, Taiwanese",15-05-2025
The Legend Hunters,"The Legend Hunters (Chinese: 鬼吹灯之天星术) is a 2025 Chinese action film directed by Simon West and Li Yifan and written by Li Yifan. It is based on the novel series Ghost Blows Out the Light by Zhang Muye. The film stars Zhang Hanyu, Jiang Wu and Celina Jade.[1]","Simon West, Li Yifan",Zhang Wang,"Zhang Hanyu, Jiang Wu, Celina Jade",China,Mandarin,08-05-2025
The Legend of Ochi,"The Legend of Ochi (/ˈoʊtʃi/) is a 2025 American fantasy adventure film written and directed by Isaiah Saxon in his feature film debut. The film stars Helena Zengel, Finn Wolfhard, Emily Watson, and Willem Dafoe.",Isaiah Saxon,"Richard Peete, Traci Carlson, Isaiah Saxon, Jonathan Wang","Helena Zengel, Finn Wolfhard, Emily Watson, Willem Dafoe",United States,English,26-01-2025
The Legend of Van Dorn,"The film stars Lee Wilson as General Van Dorn, with Ellie Patrikios portraying Jesse Peters, Joe Lando as Dr. George Peters, D.B. Sweeney as the Union spy Standsted, and David Meadows as General Nathan Bedford Forrest.",Shane Stanley,No data,"Lee Wilson, Ellie Patrikios, Joe Lando, D. B. Sweeney, David Meadows",United States,English,01-01-2024
Legends of the Condor Heroes: The Gallants,The film was released in mainland China on 29 January 2025 (Chinese New Year).[4],Tsui Hark,"Fu Ruoqing, [, zh, ]","Xiao Zhan, Zhuang Dafei, [, zh, ]",China,"Standard Chinese, ,, Mongolian language",No date
Lesbian Space Princess,Lesbian Space Princess is a 2025 Australian adult animated absurdist comedy film written and directed Emma Hough Hobbs and Leela Varghese in their directorial debut. The film won the Teddy Award at the 75th Berlin International Film Festival.,"Emma Hough Hobbs, Leela Varghese",Tom Phillips,"Shabana Azeez, Gemma Chua-Tran, Bernie Van Tiel, Richard Roxburgh, Aunty Donna, Kween Kong",Australia,English,16-02-2025
Let's Meet,Let’s Meet is a Hindi-language drama film.[2],Ravinder (Ricky) Sandhu,Pradeep Rangwani,"Tanuj Virwani, [, 1, ], Suman Rana",India,Hindi,07-02-2025
The Librarians,"It follows librarians including Carolyn Foote and Suzette Baker, in Texas, Florida, and other states, as they unite to combat book banning in the United States.[3]",Kim A. Snyder,"Kim A. Snyder, Janique L. Robillard, Maria Cuomo Cole, Jana Edelbaum",No data,United States,English,24-01-2025
The Life List,"The Life List is a 2025 American romantic comedy drama film, starring Sofia Carson, Kyle Allen and Connie Britton. It was written and directed by Adam Brooks and adapted from the novel of the same name by Lori Nelson Spielman.",Adam Brooks,Liza Chasin,"Sofia Carson, Kyle Allen, Connie Britton",United States,English,28-03-2025
LifeHack,"LifeHack is a 2025 screenlife[2] action thriller[3] film directed by Ronan Corrigan,  in his directorial debut.[4] It premiered at SXSW 2025.[5]",Ronan Corrigan,No data,No data,United Kingdom,English,08-03-2025
The Light,"The Light (German: Das Licht) is a 2025 drama film written, directed by Tom Tykwer, and starring Lars Eidinger and Nicolette Krebitz depicts everyday life of a middle-class family in a world that has become unstable.[2][3] The German-French co-production also have Elke Biesendorfer, Julius Gause and Elyas Eldridge in pivotal roles. The film premiered at the 75th Berlin International Film Festival in Special Gala section on 13 February 2025. It will be released on 20 March 2025 in German theatres by X Verleih.[4][5]",Tom Tykwer,Uwe Schott,"Lars Eidinger, Nicolette Krebitz, Elke Biesendorfer, Julius Gause, Elyas Eldridge, Tala Al Deen, Şiir Eloğlu","Germany, France",German,13-02-2025
Like Father Like Son,"Like Father Like Son is a 2025 American psychological thriller film written and directed by Barry Jay. The film stars Dylan Flashner as Eli McKinnon, a young man who becomes a serial killer after witnessing his father commit murder. It received negative reviews from critics.",Barry Jay,No data,"Dylan Flashner, Dermot Mulroney, Ariel Winter",United States,English,31-01-2025
Lilim,"Set in the Philippines during the Martial Law era in 1983, Lilim follows siblings Issa and Tomas who flee their home after Issa kills their abusive father in self-defense. On the run from authorities, they are brought to Helping Hands, a remote orphanage in the mountains run by nuns led by Sister Marga.",Mikhail Red,"Vincent Del Rosario III, Valerie S. Del Rosario, Veronique Del Rosario-Corpus, Micah Tadena","Heaven Peralejo, Eula Valdez, Ryza Cenon",Philippines,Filipino,12-03-2025
Lilo & Stitch,"Lilo & Stitch is a 2025 American science fiction comedy film produced by Walt Disney Pictures and Rideback, and distributed by Walt Disney Studios Motion Pictures. Directed by Dean Fleischer Camp, the film is a live-action/animated remake of Disney's 2002 traditionally animated film Lilo & Stitch, with some elements also based on that film's animated sequel films and TV shows.[1] It stars Maia Kealoha in her film debut as Lilo Pelekai, and original Lilo & Stitch writer-director Chris Sanders reprising his voice role as Stitch, with Sydney Elizebeth Agudong, Billy Magnussen, Hannah Waddingham, Courtney B. Vance, Zach Galifianakis, and original cast members Tia Carrere, Amy Hill, and Jason Scott Lee appearing in different supporting roles.[7]",Dean Fleischer Camp,"Jonathan Eirich, Dan Lin","Sydney Elizebeth Agudong, Billy Magnussen, Hannah Waddingham, Chris Sanders, Courtney B. Vance, Zach Galifianakis, Maia Kealoha",United States,English,17-05-2025
Lisabi: A Legend Is Born,"The film stars Lateef Adedimeji as Lisabi, alongside a cast that includes Olayode Juliana, Adebimpe Oyebade, Olarotimi Fakunle, Olumide Oworu, Jide Awobona, and Muyiwa Ademola. Set against the historical backdrop of Abeokuta and its surrounding areas in Ogun State, the film aims to capture the essence of Yoruba history and culture.",Niyi Akinmolayan,"Oyebade Adebimpe Adedimeji, Victoria Akujobi","Lateef Adedimeji, Adebimpe Oyebade, Odunlade Adekola",Nigeria,Yoruba,10-01-2025
Lisik: Origin Point,"In a quiet coastal town in the Philippines, senior high school student Kara (Grace Rosas Tayo) is grappling with the recent suicide of her younger brother, who was relentlessly bullied by classmates. Her best friend, Elisha (Nika De Guzman), is consumed by anger and seeks vengeance against the bullies, led by the arrogant and manipulative Max (Jeremiah Allera).",John Renz Cahilig,"Dominic Orjalo, [, 1, ]","Nika De Guzman, Grace Rosas Tayo, Jeremiah Allera, Rosemarie Smith",Philippines,Filipino,19-02-2025
The Little Sister,"The Little Sister (French: La Petite Dernière, lit. 'The Little Last One') is a 2025 coming-of-age drama film written and directed by Hafsia Herzi. It is an adaptation of Fatima Daas's 2020 autofiction novel The Last One. It stars newcomer Nadia Melliti as the daughter of Algerian immigrants in Paris who struggles to balance the expectations of her family with her burgenoning identity. The supporting cast includes Park Ji-min, Louis Memmi, Mouna Soualem, and several non-professional actors. The film is a co-production between France and Germany.[2]",Hafsia Herzi,"Julie Billy, Naomi Denamur",Nadia Melliti,"France, Germany",French,16-05-2025
Little Trouble Girls,Little Trouble Girls (Slovene: Kaj ti je deklica) is a 2025 Slovenian drama film co-written and directed by Urška Djukić in her directorial debut. The film revolves around introverted 16-year-old Lucia and her relationship with fellow student Ana-Maria.[1][2],Urška Djukić,"Jožko Rutar, Miha Černec","Jara Sofija Ostan, Mina Švajger, Saša Tabaković, Nataša Burger, Staša Popović, Mateja Strle","Slovenia, Italy, Croatia, Serbia",Slovenian,14-02-2025
Living the Land,"Living the Land (Chinese: 生息之地) is a 2025 Chinese drama film directed by Huo Meng. The film set in the 1990s, is about a 10-year-old boy who is confronted with both rural traditions and socio-economic change in his Chinese home village.[1]",Huo Meng,"Zhang Fan, Xu Chunping, Yao Chen, Jiang Hao, Cai Yuan","Wang Shang, Zhang Chuwen, Zhang Yanrong, Zhang Caixia, Cao Lingzhi",China,Mandarin,14-02-2025
"Lloyd Wong, Unfinished","Lloyd Wong, Unfinished is a 2025 Canadian short documentary film directed by Lesley Loksi Chan.[1] It tells the story of Chinese-Canadian artist Lloyd Wong, who began a video work about his living with HIV which remained unfinished at the time of his death. Thirty years later, filmmaker Lesley Loksi Chan discovered and edited the material.[2]","Lesley Loksi Chan, Original Footage: Lloyd Wong","Lesley Loksi Chan, Luo Li, Phanuel Anti","Lloyd Wong, Suy Woo Wong",Canada,English,15-02-2025
Lobby,"Lobby (Korean: 로비) is a 2025 South Korean black comedy film written, directed, and produced by Ha Jung-woo. Ha leads a ten-actor ensemble cast as Chang-wook, a startup CEO who tries to win a government project through lobbyist golf.[2] The film was released on April 2, 2025.[3]",Ha Jung-woo,"Byun Bong-hyun, Kim Young-hoon, Ha Jung-woo","Ha Jung-woo, Kim Eui-sung, Kang Hae-lim, Lee Dong-hwi, Park Byung-eun, Kang Mal-geum, Choi Si-won, Cha Joo-young, Park Hae-soo, Kwak Sun-young",South Korea,Korean,02-04-2025
Locked,Locked is a 2025 American thriller film directed by David Yarovesky and starring Bill Skarsgård and Anthony Hopkins. It is an English-language remake of the 2019 Argentine action film 4x4.,David Yarovesky,"Ara Keshishian, Petr Jákl, Sam Raimi, Zainab Azizi, Sean Patrick O'Reilly","Bill Skarsgård, Anthony Hopkins",United States,English,21-03-2025
Logout,"Logout follows Pratyush Dua (played by Babil Khan), a popular social media influencer on the verge of reaching ten million followers. Charismatic and engaging, Pratyush has built his public image around a carefully curated digital persona. While his online success continues to rise, his sister Ananya expresses concern about his increasing obsession with fame and online validation.",Amit Golani,"Kevin Vaz, Ajit Andhare, Sameer Saxena, Saurabh Khanna, Amit Golani, Biswapati Sarkar","Babil Khan, Rasika Dugal, Gandharv Dewan, Nimisha Nair",India,Hindi,18-04-2025
